Asset_ID,Asset_Name,Category,Path,SHA256_Primary,Global_Score,Status,STRIDE_Risk,D1_Score,D2_Score,D3_Score,D4_Score,D5_Score,D6_Score,D7_Score,D8_Score,RICE_Score,RICE_Reach,RICE_Impact,RICE_Effort,Top_Issue_Title,Top_Issue_Vector
adr-archive,adr-archive,config_skill,/home/loupan/.gemini/config/skills/adr-archive,4b52a30d9de5d619d00cd1ec931891c8654087337e0bc15e6996fd17f46daee0,86.7,APROVADA,Baixo,9.5,9.5,6.5,8.8,8.5,8.8,8.8,9.5,5.7,9,1.0,1.5,Context Budget Optimization & Lazy Loading de Referências,D3
adr-generator,adr-generator,config_skill,/home/loupan/.gemini/config/skills/adr-generator,a10f2ec6dd0bc96583c4257c0c5dae7168c14abd5eabb2513b9aefd944e11555,92.0,APROVADA,Baixo,9.5,9.5,7.8,9.8,9.5,9.2,8.8,9.5,5.7,9,1.0,1.5,Context Budget Optimization & Lazy Loading de Referências,D3
agent-development,agent-development,config_skill,/home/loupan/.gemini/config/skills/agent-development,e5eb33376b83568c24b58afb74c5573027e5d72bed5047c8f1d9acb27a8872ee,92.6,APROVADA,Baixo,9.5,9.5,9.0,9.8,9.5,9.2,7.5,9.5,5.7,9,1.0,1.5,Incorporação de Suíte de Testes e Fixtures de Regressão,D7
agent-orchestration,agent-orchestration,config_skill,/home/loupan/.gemini/config/skills/agent-orchestration,9662d1bb416f38a278504114784358792aa8168c9fcd73168a41bec262ae8afb,92.0,APROVADA,Baixo,9.5,9.5,7.8,9.8,9.5,9.2,8.8,9.5,5.7,9,1.0,1.5,Context Budget Optimization & Lazy Loading de Referências,D3
agent-planning-execution,agent-planning-execution,config_skill,/home/loupan/.gemini/config/skills/agent-planning-execution,5981798c40f2a094e2b4e37a9c744985afcbbc9fad3380060eddaadc9434f564,88.8,APROVADA,Baixo,9.5,9.5,6.5,9.8,9.5,9.2,7.5,9.5,5.7,9,1.0,1.5,Context Budget Optimization & Lazy Loading de Referências,D3
agents-md-management,agents-md-management,config_skill,/home/loupan/.gemini/config/skills/agents-md-management,19f08f68e500e9863609a303da37c94cba13361750859750035fced8453a47bd,92.6,APROVADA,Baixo,9.5,9.5,9.0,9.8,9.5,9.2,7.5,9.5,5.7,9,1.0,1.5,Incorporação de Suíte de Testes e Fixtures de Regressão,D7
api-design,api-design,config_skill,/home/loupan/.gemini/config/skills/api-design,6be7d11d1deff247f7cf1778f35c190a303d2160a19c8ce480864a0b12d2294e,92.0,APROVADA,Baixo,9.5,9.5,7.8,9.8,9.5,9.2,8.8,9.5,5.7,9,1.0,1.5,Context Budget Optimization & Lazy Loading de Referências,D3
architecture-review,architecture-review,config_skill,/home/loupan/.gemini/config/skills/architecture-review,e2b1e54e1b86a9677c1006e3c45bd2b7fc089916aab48d31dc627e2bcbde1942,92.8,APROVADA,Baixo,9.5,9.5,9.0,9.8,8.5,9.2,8.8,9.5,5.7,9,1.0,1.5,Hardening de Telemetria e Tracing Transacional,D5
artifacts-builder,artifacts-builder,config_skill,/home/loupan/.gemini/config/skills/artifacts-builder,e40dc0c1a28d84bc9d02a429af0ec2d9ccf5289776aa6520e6905f2aede60a20,92.6,APROVADA,Baixo,9.5,9.5,9.0,9.8,9.5,9.2,7.5,9.5,5.7,9,1.0,1.5,Incorporação de Suíte de Testes e Fixtures de Regressão,D7
brainstorming,brainstorming,config_skill,/home/loupan/.gemini/config/skills/brainstorming,39458b64d11520ad59466eb6383b7b60c2b6e7a5ca22e7c621302c7646e0264a,87.7,APROVADA,Baixo,9.5,9.5,6.5,8.8,9.5,8.8,8.8,9.5,5.7,9,1.0,1.5,Context Budget Optimization & Lazy Loading de Referências,D3
cap,cap,config_skill,/home/loupan/.gemini/config/skills/cap,8c679ba99064c45dc6c03f6b9fda9cad5c129de8b1f0abdd252febdc4fde2c3d,92.3,APROVADA,Baixo,9.5,9.5,9.5,9.8,8.5,9.2,7.5,9.5,5.7,9,1.0,1.5,Incorporação de Suíte de Testes e Fixtures de Regressão,D7
changelog-generator,changelog-generator,config_skill,/home/loupan/.gemini/config/skills/changelog-generator,1d929f58d87e6348510cfb6762688f299568218b114b291bbcb9192977df9f1c,92.3,APROVADA,Baixo,9.5,9.5,9.5,9.8,8.5,9.2,7.5,9.5,5.7,9,1.0,1.5,Incorporação de Suíte de Testes e Fixtures de Regressão,D7
circuit-breaker,circuit-breaker,config_skill,/home/loupan/.gemini/config/skills/circuit-breaker,ce7a7c2694d5be31a9a15677ed2f38d2427126cf77b433e8279fe0cb78dba295,92.6,APROVADA,Baixo,9.5,9.5,9.0,9.8,9.5,9.2,7.5,9.5,5.7,9,1.0,1.5,Incorporação de Suíte de Testes e Fixtures de Regressão,D7
clean-code,clean-code,config_skill,/home/loupan/.gemini/config/skills/clean-code,3188bcdadf08017eb3859350ca03e1b654db64ce4de05b3bc11f2c4dbc4a76a3,92.6,APROVADA,Baixo,9.5,9.5,9.0,9.8,9.5,9.2,7.5,9.5,5.7,9,1.0,1.5,Incorporação de Suíte de Testes e Fixtures de Regressão,D7
